feature_id	feature_name	target_class	human_gene_symbol	validation_assay	validation_feature	group_by	group_levels	expected_positive_groups	prior_method	prior_confidence	prior_evidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	n_expected_groups	n_observed_adt_groups	n_observed_validation_groups	needs_llm_review	needs_manual_review	review_reason
mAOC0505	mAOC-CD35	gene	CR1	RNA	CR1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	CD35/CR1 is enriched on B and myeloid cells.	B;Monocyte;NK/T	B;GMP-L;Monocyte	B;Monocyte	B;Monocyte	B;Monocyte	2	3	3	FALSE	FALSE	
mAOC0506	mAOC-CD31	gene	PECAM1	RNA	PECAM1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	PECAM1/CD31 is endothelial/platelet/leukocyte/progenitor-broad; no strict lineage prior support.	B;Monocyte;NK/T	CLP;HSC_MPP;MKP				0	3	3	FALSE	FALSE	
mAOC0507	mAOC-CD11c	gene	ITGAX	RNA	ITGAX	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	ITGAX/CD11c supports monocyte/DC context; remove GMP-L direct prior support.	B;MKP;NK/T	CLP;GMP-L;Monocyte			Monocyte	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0508	mAOC-CD157	gene	BST1	RNA	BST1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	BST1/CD157 is myeloid/monocyte-associated in this strict prior; do not directly assign prior support to GMP-L.	MKP;Monocyte;NK/T	ERYP;MKP;Monocyte	MKP;Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0509	mAOC-CD277	gene	BTN3A1	RNA	BTN3A1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	BTN3A1/CD277 is broadly immune-associated and not specific enough for current lineage prior assignment.	MKP;Monocyte;NK/T	B;ERYP;NK/T	NK/T			0	3	3	FALSE	FALSE	
mAOC0518-1	mAOC-ACVR2B	gene	ACVR2B	RNA	ACVR2B	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	ACVR2B is not a lineage-informative adult cHSPC hematopoietic marker in the current label set.	MKP;Monocyte;NK/T	ERYP;GMP-L;MEBEMP-L				0	3	3	FALSE	FALSE	
mAOC0519-1	mAOC-CD246	gene	ALK	RNA	ALK	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	ALK/CD246 is not a lineage-informative hematopoietic marker for these adult cHSPC labels.	MKP;Monocyte;NK/T	CLP;HSC_MPP;Monocyte	Monocyte			0	3	3	FALSE	FALSE	
mAOC0520	mAOC-TNFA	gene	TNF	RNA	TNF	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	llm_marker_prior	0.85	TNF is mainly an inflammatory cytokine associated with activated monocyte and T/NK immune compartments.	B;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	2	3	3	FALSE	FALSE	
mAOC0522-1	mAOC-CD350	gene	FZD10	RNA	FZD10	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	FZD10/CD350 is not a lineage-informative hematopoietic marker in the current adult cHSPC label set.	MKP;Monocyte;NK/T					0	3	0	FALSE	FALSE	
mAOC0523-1	mAOC-GLP1R	gene	GLP1R	RNA	GLP1R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	GLP1R is not a lineage-informative hematopoietic marker for these adult cHSPC labels.	B;Monocyte;NK/T	GMP-L;MEBEMP-L;MKP				0	3	3	FALSE	FALSE	
mAOC0524	mAOC-GPC2	gene	GPC2	RNA	GPC2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	GPC2 is not a standard adult cHSPC lineage marker; require dataset-specific validation.	MKP;Monocyte;NK/T	B;HSC_MPP;NK/T	NK/T			0	3	3	FALSE	FALSE	
mAOC0525	mAOC-HTR2B	gene	HTR2B	RNA	HTR2B	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	HTR2B is not sufficiently lineage-informative for the current adult cHSPC hematopoietic labels.	B;Monocyte;NK/T	B;MEBEMP-L;MKP	B			0	3	3	FALSE	FALSE	
mAOC0526	mAOC-CD213a2	gene	IL13RA2	RNA	IL13RA2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	IL13RA2 is not a standard lineage-informative marker for the current adult cHSPC labels.	MKP;Monocyte;NK/T	ERYP;HSC_MPP;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0527	mAOC-CD220	gene	INSR	RNA	INSR	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	INSR/CD220 is broadly metabolic and not lineage-informative for the current hematopoietic labels.	B;Monocyte;NK/T	B;GMP-L;NK/T	B;NK/T			0	3	3	FALSE	FALSE	
mAOC0528	mAOC-Galectin-3	gene	LGALS3	RNA	LGALS3	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	llm_marker_prior	0.90	LGALS3/Galectin-3 is expected in monocyte/macrophage-associated compartments.	MKP;Monocyte;NK/T	B;CLP;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0529	mAOC-CD257	gene	TNFSF13B	RNA	TNFSF13B	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	llm_marker_prior	0.85	TNFSF13B/BAFF is mainly produced by myeloid/APC-like cells; Monocyte is the closest current label.	MKP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0530	mAOC-CD279	gene	PDCD1	RNA	PDCD1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	PD-1/PDCD1 is a T-cell marker.	B;Monocyte;NK/T	B;ERYP;MEBEMP-L	B	NK/T		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0531	mAOC-TNFSF12	gene	TNFSF12	RNA	TNFSF12	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.82	TNFSF12/TWEAK is broad inflammatory signaling and not specific enough for current lineage prior assignment.	MKP;Monocyte;NK/T	CLP;HSC_MPP;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0532	mAOC-CD314	gene	KLRK1	RNA	KLRK1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	NKG2D/KLRK1 is NK/T-associated.	MKP;Monocyte;NK/T	B;MKP;NK/T	MKP;NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0533	mAOC-CD274	gene	CD274	RNA	CD274	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	CD274/PD-L1 is APC/myeloid activation-associated; remove GMP-L direct prior support.	MKP;Monocyte;NK/T	B;HSC_MPP;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0534	mAOC-CD64	gene	FCGR1A	RNA	FCGR1A	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	FCGR1A/CD64 is monocyte/macrophage-associated; remove GMP-L direct prior support.	MKP;Monocyte;NK/T	GMP-L;HSC_MPP;MEBEMP-L		Monocyte		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0540	mAOC-CD117	gene	KIT	RNA	KIT	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	GMP-L;HSC_MPP;MEBEMP-L	local_marker_prior	0.95	KIT/CD117 marks progenitor states broadly across HSPC subsets.	MKP;Monocyte;NK/T	ERYP;GMP-L;MEBEMP-L			GMP-L;MEBEMP-L	3	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0541	mAOC-KLB	gene	KLB	RNA	KLB	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	KLB is not a lineage-informative hematopoietic marker for adult cHSPC labels.	B;Monocyte;NK/T	B;ERYP;HSC_MPP	B			0	3	3	FALSE	FALSE	
mAOC0542	mAOC-CD107a	gene	LAMP1	RNA	LAMP1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	LAMP1/CD107a marks degranulation/lysosomal activation; no strict lineage prior support.	MKP;Monocyte;NK/T	GMP-L;Monocyte;NK/T	Monocyte;NK/T			0	3	3	FALSE	FALSE	
mAOC0543	mAOC-GARP	gene	LRRC32	RNA	LRRC32	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	GARP/LRRC32 is associated with regulatory/activated T cells.	MKP;Monocyte;NK/T	B;HSC_MPP;MKP	MKP	NK/T		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0544	mAOC-MICA	gene	MICA	RNA	MICA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	MICA is a stress ligand and is not lineage-informative for the current hematopoietic labels.	MKP;Monocyte;NK/T	GMP-L;HSC_MPP;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0545	mAOC-CD335	gene	NCR1	RNA	NCR1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD335/NCR1 is an NK-cell marker.	MKP;Monocyte;NK/T	ERYP;Monocyte;NK/T	Monocyte;NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0548	mAOC-SLC40A1	gene	SLC40A1	RNA	SLC40A1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	ERYP;Monocyte	llm_marker_prior	0.82	SLC40A1/ferroportin is most interpretable in iron-handling erythroid and monocyte/macrophage contexts.	MKP;Monocyte;NK/T	ERYP;GMP-L;MKP	MKP	Monocyte	ERYP	2	3	3	FALSE	FALSE	
mAOC0549	mAOC-CD366	gene	HAVCR2	RNA	HAVCR2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	HAVCR2/TIM-3 is activation/exhaustion/myeloid-state associated; no strict lineage prior support.	CLP;HSC_MPP;Monocyte	CLP;MEBEMP-L;Monocyte	CLP;Monocyte			0	3	3	FALSE	FALSE	
mAOC0550	mAOC-CD262	gene	TNFRSF10B	RNA	TNFRSF10B	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	TNFRSF10B/DR5 is an apoptosis receptor and not lineage-informative for these cHSPC labels.	MKP;Monocyte;NK/T	CLP;HSC_MPP;Monocyte	Monocyte			0	3	3	FALSE	FALSE	
mAOC0551	mAOC-CD269	gene	TNFRSF17	RNA	TNFRSF17	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	BCMA/TNFRSF17 is B-lineage/plasma-associated.	MKP;Monocyte;NK/T	B;HSC_MPP;MEBEMP-L			B	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0553	mAOC-TSHR	gene	TSHR	RNA	TSHR	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	TSHR is not a hematopoietic lineage-informative marker for the current labels.	MKP;Monocyte;NK/T	GMP-L;MEBEMP-L;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0554	mAOC-CD309	gene	TNFRSF9	RNA	TNFRSF9	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	4-1BB/TNFRSF9 is T-cell activation-associated.	B;MKP;NK/T	MEBEMP-L;MKP;Monocyte	MKP	NK/T		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0555	mAOC-VISTA	gene	VSIR	RNA	VSIR	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	VISTA/VSIR is myeloid-associated.	B;Monocyte;NK/T	CLP;HSC_MPP;MEBEMP-L		Monocyte		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0556	mAOC-CD197	gene	CCR7	RNA	CCR7	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CCR7 is lymphoid trafficking-associated, strongest for T-cell contexts here; remove CLP direct prior support.	MKP;Monocyte;NK/T	B;CLP;NK/T	NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0561	mAOC-CD32b	gene	FCGR2B	RNA	FCGR2B	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	CD32B/FCGR2B is expressed on B and myeloid cells.	MKP;Monocyte;NK/T	B;HSC_MPP;MEBEMP-L		Monocyte	B	2	3	3	FALSE	FALSE	
mAOC0562	mAOC-CD332	gene	FGFR2	RNA	FGFR2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.85	FGFR2/CD332 is not a standard lineage-informative marker for the current adult cHSPC labels.	B;MKP;NK/T	GMP-L;HSC_MPP;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0564	mAOC-CD338	gene	ABCG2	RNA	ABCG2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	HSC_MPP	local_marker_prior	0.95	Stem/progenitor-associated transporter.	MKP;Monocyte;NK/T	ERYP;MKP;NK/T	MKP;NK/T			1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0567	mAOC-CD20	gene	MS4A1	RNA	MS4A1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD20/MS4A1 is a canonical B-cell marker.	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B	B	1	3	3	FALSE	FALSE	
mAOC0569	mAOC-FZD5	gene	FZD5	RNA	FZD5	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.82	FZD5 is Wnt-signaling associated and too broad for current lineage prior assignment.	GMP-L;Monocyte;NK/T	ERYP;GMP-L;MKP	GMP-L			0	3	3	FALSE	FALSE	
mAOC0570	mAOC-GLP1R	gene	GLP1R	RNA	GLP1R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	GLP1R is not a lineage-informative hematopoietic marker for these adult cHSPC labels.	B;Monocyte;NK/T	GMP-L;MEBEMP-L;MKP				0	3	3	FALSE	FALSE	
mAOC0576	mAOC-SIGLEC15	gene	SIGLEC15	RNA	SIGLEC15	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	SIGLEC15 is myeloid-associated.	B;Monocyte;NK/T	HSC_MPP;MKP;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0580	mAOC-CD202b	gene	TEK	RNA	TEK	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	TEK/Tie2 is endothelial/progenitor-contextual; not strict enough for HSC_MPP voting.	MKP;Monocyte;NK/T	ERYP;MEBEMP-L;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0581	mAOC-CD154	gene	CD40LG	RNA	CD40LG	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD40LG/CD154 is a T-cell activation marker.	MKP;Monocyte;NK/T	ERYP;MEBEMP-L;MKP	MKP	NK/T		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0582	mAOC-CD46	gene	CD46	RNA	CD46	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	CD46 is broadly expressed across leukocytes; no strict lineage prior support.	ERYP;MEBEMP-L;MKP	ERYP;HSC_MPP;MKP	ERYP;MKP			0	3	3	FALSE	FALSE	
mAOC0583	mAOC-CD74	gene	CD74	RNA	CD74	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	CD74/MHC-II invariant chain marks antigen-presenting cells.	B;CLP;Monocyte	B;CLP;HSC_MPP	B;CLP	B;Monocyte	B	2	3	3	FALSE	FALSE	
mAOC0584	mAOC-CD116	gene	CSF2RA	RNA	CSF2RA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	GMP-L;Monocyte	local_marker_prior	0.95	CSF2RA/CD116 is myeloid-associated.	CLP;Monocyte;NK/T	CLP;GMP-L;Monocyte	CLP;Monocyte	Monocyte	GMP-L;Monocyte	2	3	3	FALSE	FALSE	
mAOC0585	mAOC-FCER1A	gene	FCER1A	RNA	FCER1A	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	FCER1A is DC/basophil/mast-associated; current label set lacks a matching category.	MKP;Monocyte;NK/T	ERYP;MEBEMP-L;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0586	mAOC-CD50	gene	ICAM3	RNA	ICAM3	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	ICAM3/CD50 is broadly leukocyte-associated; no strict lineage prior support.	MKP;Monocyte;NK/T	CLP;HSC_MPP;MEBEMP-L				0	3	3	FALSE	FALSE	
mAOC0587	mAOC-CD210b	gene	IL10RB	RNA	IL10RB	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.82	IL10RB is a shared cytokine receptor component and too broad for current lineage prior assignment.	MKP;Monocyte;NK/T	B;CLP;Monocyte	Monocyte			0	3	3	FALSE	FALSE	
mAOC0588	mAOC-CD218a	gene	IL18R1	RNA	IL18R1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	llm_marker_prior	0.85	IL18R1 is expected in inflammatory monocyte and Th1/NK-like immune contexts.	MKP;Monocyte;NK/T	ERYP;GMP-L;MEBEMP-L		Monocyte;NK/T		2	3	3	FALSE	TRUE	No observed validation-high group overlaps LLM expected groups.
mAOC0589	mAOC-IL1RAP	gene	IL1RAP	RNA	IL1RAP	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	GMP-L;HSC_MPP;MEBEMP-L	llm_marker_prior	0.78	IL1RAP is progenitor/AML-associated but not sufficiently specific across normal adult cHSPC labels.	MKP;Monocyte;NK/T	ERYP;MEBEMP-L;MKP	MKP		MEBEMP-L	3	3	3	FALSE	TRUE	LLM confidence below threshold.
mAOC0590	mAOC-CD360	gene	IL21R	RNA	IL21R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;NK/T	llm_marker_prior	0.85	IL21R/CD360 is lymphoid-associated, especially B and T/NK-lineage contexts.	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B;NK/T	B;CLP;NK/T	3	3	3	FALSE	FALSE	
mAOC0591	mAOC-CD85f	gene	LILRA5	RNA	LILRA5	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	LILRA5/CD85f is mature myeloid-associated; remove GMP-L direct prior support.	MKP;Monocyte;NK/T	CLP;MKP;Monocyte	MKP;Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0592	mAOC-CD85a	gene	LILRB3	RNA	LILRB3	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	LILRB3/CD85a is mature myeloid-associated; remove GMP-L direct prior support.	CLP;Monocyte;NK/T	CLP;GMP-L;Monocyte	CLP;Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0593	mAOC-CD6	gene	CD6	RNA	CD6	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;NK/T	llm_marker_prior	0.88	CD6 is primarily T-lineage associated and may also occur in lymphoid progenitor or B-cell contexts.	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B;NK/T	B;CLP;NK/T	3	3	3	FALSE	FALSE	
mAOC0598	mAOC-CD89	gene	FCAR	RNA	FCAR	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	FCAR/CD89 is mature myeloid-associated; remove GMP-L direct prior support.	MKP;Monocyte;NK/T	GMP-L;HSC_MPP;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0599	mAOC-CD23	gene	FCER2	RNA	FCER2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD23/FCER2 is a B-cell marker.	ERYP;MKP;NK/T	B;GMP-L;Monocyte			B	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0600	mAOC-CD316	gene	IGSF8	RNA	IGSF8	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	IGSF8/CD316 is broadly immune-associated; no strict lineage prior support.	MKP;Monocyte;NK/T	CLP;HSC_MPP;NK/T	NK/T			0	3	3	FALSE	FALSE	
mAOC0601	mAOC-CD126	gene	IL6R	RNA	IL6R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	IL6R/CD126 is monocyte/B-associated.	CLP;GMP-L;Monocyte	CLP;GMP-L;Monocyte	CLP;GMP-L;Monocyte	Monocyte	Monocyte	2	3	3	FALSE	FALSE	
mAOC0602	mAOC-CD132	gene	IL2RG	RNA	IL2RG	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	CLP;NK/T	local_marker_prior	0.95	Common gamma chain is lymphoid-associated.	CLP;HSC_MPP;NK/T	B;CLP;NK/T	CLP;NK/T	CLP;NK/T	CLP;NK/T	2	3	3	FALSE	FALSE	
mAOC0603	mAOC-CD130	gene	IL6ST	RNA	IL6ST	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	IL6ST/CD130 is a broad cytokine receptor component; no strict lineage prior support.	MEBEMP-L;Monocyte;NK/T	MEBEMP-L;MKP;Monocyte	MEBEMP-L;Monocyte			0	3	3	FALSE	FALSE	
